,Frame,Num_detections,Yolo_det,sort_tracks,sort_track_nums,iou_RFID,read_outs
137,137,2,"[[431, 205, 503, 330, 0.9994], [23, 134, 105, 257, 0.9975]]","[[434, 201, 501, 327, 2], [20, 132, 107, 258, 1]]","[2, 1]",{},{}
138,138,2,"[[437, 206, 500, 335, 0.9994], [23, 135, 104, 256, 0.9991]]","[[435, 206, 501, 332, 2], [21, 133, 106, 257, 1]]","[2, 1]",{},{}
139,139,2,"[[435, 204, 502, 338, 0.9999], [22, 132, 108, 256, 0.9983]]","[[435, 207, 501, 335, 2], [21, 132, 107, 256, 1]]","[2, 1]","{2: [0.23468729851708575, 0.0]}",{2: '2018121255'}
140,140,2,"[[431, 208, 500, 337, 0.9999], [23, 133, 111, 255, 0.999]]","[[432, 209, 499, 337, 2], [23, 132, 109, 256, 1]]","[2, 1]","{2: [0.21147028154327424, 0.0]}",{2: '2018121255'}
141,141,2,"[[430, 210, 500, 333, 0.9999], [22, 133, 110, 255, 0.9992]]","[[431, 209, 499, 336, 2], [22, 132, 109, 255, 1]]","[2, 1]",{},{}
142,142,2,"[[436, 208, 499, 336, 0.9998], [22, 133, 108, 253, 0.9991]]","[[433, 210, 499, 336, 2], [22, 132, 108, 254, 1]]","[2, 1]",{},{}
143,143,2,"[[433, 211, 497, 334, 0.9999], [22, 134, 109, 252, 0.9992]]","[[432, 210, 498, 336, 2], [22, 132, 108, 253, 1]]","[2, 1]",{},{}
144,144,2,"[[433, 212, 498, 333, 0.9998], [20, 135, 108, 252, 0.9992]]","[[432, 211, 497, 335, 2], [21, 133, 108, 253, 1]]","[2, 1]",{},{}
145,145,2,"[[433, 209, 498, 339, 0.9997], [18, 130, 109, 255, 0.9971]]","[[432, 211, 497, 337, 2], [19, 132, 107, 253, 1]]","[2, 1]",{},{}
146,146,2,"[[432, 210, 498, 337, 0.9996], [9, 132, 103, 257, 0.9406]]","[[432, 211, 497, 337, 2], [13, 132, 103, 255, 1]]","[2, 1]",{},{}
147,147,2,"[[431, 209, 498, 338, 0.9997], [16, 136, 108, 248, 0.955]]","[[431, 211, 497, 337, 2], [15, 132, 105, 252, 1]]","[2, 1]",{},{}
148,148,2,"[[431, 210, 498, 338, 0.9997], [17, 135, 110, 247, 0.9646]]","[[431, 211, 497, 338, 2], [16, 132, 108, 250, 1]]","[2, 1]",{},{}
149,149,2,"[[432, 208, 499, 338, 0.9997], [16, 133, 110, 249, 0.9826]]","[[431, 210, 498, 337, 2], [16, 132, 108, 249, 1]]","[2, 1]",{},{}
150,150,2,"[[433, 208, 500, 338, 0.9997], [18, 133, 107, 247, 0.9912]]","[[432, 209, 498, 337, 2], [17, 132, 108, 248, 1]]","[2, 1]",{},{}
